,Date,Close
0,2000-01-03,1884.5
1,2000-01-04,1909.0
2,2000-01-05,1910.0
3,2000-01-06,1907.5
4,2000-01-07,1903.5
5,2000-01-10,1900.5
6,2000-01-11,1907.0
7,2000-01-12,1905.5
8,2000-01-13,1915.0
9,2000-01-14,1922.5
10,2000-01-17,1924.5
11,2000-01-18,1935.5
12,2000-01-19,1942.5
13,2000-01-20,1932.5
14,2000-01-21,1938.0
15,2000-01-24,1942.5
16,2000-01-25,1947.0
17,2000-01-26,1964.75
18,2000-01-27,1978.5
19,2000-01-28,1963.5
20,2000-01-31,1976.5
21,2000-02-01,1968.0
22,2000-02-02,1967.75
23,2000-02-03,1945.75
24,2000-02-04,1955.5
25,2000-02-07,1950.0
26,2000-02-08,1949.0
27,2000-02-09,1951.0
28,2000-02-10,1950.0
29,2000-02-11,1950.0
30,2000-02-14,1952.0
31,2000-02-15,1949.25
32,2000-02-16,1945.75
33,2000-02-17,1945.8
34,2000-02-18,1945.25
35,2000-02-21,1943.0
36,2000-02-22,1941.0
37,2000-02-23,1945.5
38,2000-02-24,1947.0
39,2000-02-25,1947.0
40,2000-02-28,1947.0
41,2000-02-29,1947.5
42,2000-03-01,1951.0
43,2000-03-02,1959.62
44,2000-03-03,1964.5
45,2000-03-06,1971.0
46,2000-03-07,1966.0
47,2000-03-08,1961.0
48,2000-03-09,1960.5
49,2000-03-10,1959.5
50,2000-03-13,1957.0
51,2000-03-14,1956.0
52,2000-03-15,1954.0
53,2000-03-16,1950.0
54,2000-03-17,1953.5
55,2000-03-21,1960.0
56,2000-03-22,1952.0
57,2000-03-23,1954.15
58,2000-03-24,1955.5
59,2000-03-27,1961.0
60,2000-03-28,1953.0
61,2000-03-29,1950.75
62,2000-03-30,1955.75
63,2000-03-31,1961.0
64,2000-04-03,1962.0
65,2000-04-04,1967.5
66,2000-04-05,1977.0
67,2000-04-06,1994.0
68,2000-04-07,2004.5
69,2000-04-10,1995.0
70,2000-04-11,1995.0
71,2000-04-12,1988.0
72,2000-04-13,1986.75
73,2000-04-14,1993.5
74,2000-04-17,2003.5
75,2000-04-18,2001.0
76,2000-04-19,1993.5
77,2000-04-24,1987.5
78,2000-04-25,1990.5
79,2000-04-26,2002.0
80,2000-04-27,2006.0
81,2000-04-28,2008.35
82,2000-05-02,2005.5
83,2000-05-03,2016.5
84,2000-05-04,2031.5
85,2000-05-05,2043.9
86,2000-05-08,2032.5
87,2000-05-09,2034.5
88,2000-05-10,2027.0
89,2000-05-11,2038.9
90,2000-05-12,2040.45
91,2000-05-15,2042.0
92,2000-05-16,2049.75
93,2000-05-17,2052.5
94,2000-05-18,2059.5
95,2000-05-19,2102.0
96,2000-05-22,2102.75
97,2000-05-23,2112.65
98,2000-05-24,2140.0
99,2000-05-25,2114.5
100,2000-05-26,2111.5
101,2000-05-29,2072.5
102,2000-05-30,2088.75
103,2000-05-31,2102.25
104,2000-06-01,2106.0
105,2000-06-02,2125.0
106,2000-06-05,2122.5
107,2000-06-06,2123.5
108,2000-06-07,2132.0
109,2000-06-08,2126.0
110,2000-06-09,2108.0
111,2000-06-12,2116.5
112,2000-06-13,2114.5
113,2000-06-14,2112.25
114,2000-06-15,2113.0
115,2000-06-16,2114.0
116,2000-06-19,2115.0
117,2000-06-20,2126.5
118,2000-06-21,2132.5
119,2000-06-22,2126.0
120,2000-06-23,2128.5
121,2000-06-26,2130.5
122,2000-06-27,2139.0
123,2000-06-28,2137.75
124,2000-06-29,2141.75
125,2000-06-30,2156.0
126,2000-07-03,2161.5
127,2000-07-04,2163.0
128,2000-07-05,2173.0
129,2000-07-06,2170.0
130,2000-07-07,2176.5
131,2000-07-10,2180.0
132,2000-07-11,2182.5
133,2000-07-12,2162.0
134,2000-07-13,2164.5
135,2000-07-14,2148.0
136,2000-07-17,2148.5
137,2000-07-18,2152.5
138,2000-07-19,2154.0
139,2000-07-21,2147.0
140,2000-07-24,2154.0
141,2000-07-25,2160.45
142,2000-07-26,2168.0
143,2000-07-27,2177.5
144,2000-07-28,2178.5
145,2000-07-31,2175.0
146,2000-08-01,2179.5
147,2000-08-02,2179.0
148,2000-08-03,2182.5
149,2000-08-04,2180.0
